file_path,line,current_term,context,category,decision,replacement,notes
src/app.svelte,146,Sitrep,"{ label: 'Sitrep', hash: '/sitrep'",replace,REPLACE,Status,"Nav label per manifest § Vocabulary Canon: Sitrep→Status"
src/app.svelte,146,Squad health snapshot,"hint: 'Squad health snapshot — agent status'",anchor,KEEP,,"'Squad' is anchor; 'agent' already canon-correct"
src/app.svelte,148,Intake,"{ label: 'Intake', hash: '/intake'",replace,REPLACE,New Build,"Nav label per manifest: Intake→New Build (drawer header)"
src/app.svelte,148,Start a new build (Quick or Plan mode),"hint: 'Start a new build (Quick or Plan mode)'",anchor,KEEP,,"User-facing tooltip already neutral"
src/app.svelte,149,Squad,"{ label: 'Squad'",anchor,KEEP,,"'Squad' is anchor per manifest"
src/app.svelte,149,Dispatch agents by domain,"hint: 'Dispatch agents by domain — Engineer'",anchor,KEEP,,"Already uses 'agents' — anchor-correct"
src/app.svelte,238,Go to Sitrep,"label: 'Go to Sitrep'",replace,REPLACE,Go to Status,"Hotkey label mirrors nav rename"
src/app.svelte,256,Go to Intake,"label: 'Go to Intake'",replace,REPLACE,Go to New Build,"Hotkey label mirrors nav rename"
src/app.svelte,379,Hot · Cold · Convergences,"content=""Hot · Cold · Convergences — what each agent remembers (Cmd+M)""",replace,REPLACE,Working memory · Archive · Consolidations,"Memory tab tooltip — Hot→Working memory, Cold→Archive, Convergences→Consolidations per manifest § Vocabulary Canon"
src/app.svelte,391,agent memory strands,"content=""Toggle the 3D knowledge graph panel — live helix of agent memory strands""",flavor,KEEP-WITH-TOOLTIP,,"'strand' is flavor (KEEP); tooltip body: 'A strand is one agent\'s contribution to the helix'"
src/app.svelte,398,LASDLC quality gates,"content=""What is the Helix? — color map of agents and LASDLC quality gates""",internal-only,REPLACE,Quality Gates,"Drop 'LASDLC' (internal-only acronym per L-seraph-2); keep 'Quality Gates'"
src/screens/Activity.svelte,288,one agent's memory of you,"Each strand here is one agent's memory of you",flavor,KEEP-WITH-TOOLTIP,,"strand is flavor; same tooltip as app.svelte:391"
src/screens/Activity.svelte,258,Intake,"content=""Start a new build — opens the Intake form to describe your task""",replace,REPLACE,New Build,"Tooltip body: rename to 'Start a new build — opens the New Build form to describe your task'"
src/screens/BuildQueue.svelte,124,Intake,"content=""Start a new build — opens the Intake form to describe your task""",replace,REPLACE,New Build,"Tooltip body mirror"
src/screens/BuildQueue.svelte,150,pillar-by-pillar,"agents will get to work — pillar-by-pillar, gated, observable",replace,REPLACE,quality-gate-by-quality-gate,"Empty-state copy; per manifest Pillar→Quality Gate"
src/screens/Sitrep.svelte,97,SITREP,"<h1 class=""text-lg font-semibold tracking-wide"">SITREP</h1>",replace,REPLACE,STATUS,"Page H1 — primary user-facing screen title"
src/screens/Sitrep.svelte,98,Platform Situation Report,"<span class=""text-xs text-[#64748b]"">Platform Situation Report</span>",replace,REPLACE,Platform Status,"Subtitle — Sitrep is jargon"
src/screens/Sitrep.svelte,143,SQUAD HEALTH,"<h3>SQUAD HEALTH</h3>",anchor,KEEP,,"'Squad' is anchor"
src/screens/Sitrep.svelte,165,Toggle {sib} details,"aria-label=""Toggle {sib} details""",anchor,KEEP,,"sib is dynamic agent ID; ARIA label uses interpolation, no rename needed"
src/screens/Intake.svelte,438,New Build,"<h1 class=""text-lg font-semibold"">New Build</h1>",anchor,KEEP,,"Already uses canonical phrase"
src/screens/Intake.svelte,439,Intake,"<span class=""text-xs text-[#64748b]"">Intake</span>",replace,DELETE,,"Subtitle 'Intake' redundant after H1 says 'New Build'; remove"
src/screens/Intake.svelte,620,phase.assigned_sibling,"<span ...>{phase.assigned_sibling}</span>",replace,REPLACE,phase.assigned_agent,"User-visible badge — value is dynamic agent ID; field name OK to leave but display label/aria should read 'Agent'. Per H-fe-2: rename derived field via vocabulary.ts wrapper if Map keys are load-bearing"
src/screens/Intake.svelte,757,assignedSibling.slice,"{assignedSibling.slice(0, 2).toUpperCase()}",internal-only,KEEP,,"Variable name internal; renders dynamic agent ID badge — value already correct"
src/screens/Intake.svelte,761,assignedSibling.toUpperCase,"{assignedSibling.toUpperCase()}",internal-only,KEEP,,"Same as 757"
src/screens/Copilot.svelte,278,sibling.toUpperCase() agent activated,"`${sibling.toUpperCase()} agent activated. `",anchor,KEEP,,"User-visible chat string; already says 'agent' (anchor)"
src/screens/Copilot.svelte,280,sibling cycle,"`I'll coordinate the ${sibling} cycle and report findings here.`",replace,REPLACE,agent cycle,"Replace literal 'sibling' with 'agent' in chat copy"
src/screens/Copilot.svelte,266,Dispatching ${sibling.toUpperCase()},"`Dispatching ${sibling.toUpperCase()} with prompt: ""${prompt}""`",anchor,KEEP,,"Dispatching is anchor; sibling here is interpolated agent ID — fine"
src/screens/Copilot.svelte,267,Dispatching ${sibling.toUpperCase()},"`Dispatching ${sibling.toUpperCase()}`",anchor,KEEP,,"Same as 266"
src/screens/Copilot.svelte,506,Pillar:,"Context: {$activeBuild.name} · {$activeBuild.metaSkill} · Pillar: {$selectedPillar ?? 'none'}",replace,REPLACE,Quality Gate:,"Status bar context line"
src/screens/Copilot.svelte,514,Sibling dispatch sidebar,"<!-- Sibling dispatch sidebar -->",internal-only,KEEP,,"HTML comment — not user-visible"
src/components/CopilotDrawer.svelte,619,7 siblings,"<span>{...}/7 siblings</span>",replace,REPLACE,7 agents,"Status bar copy; user-visible"
src/components/CopilotDrawer.svelte,471,Dispatching ${sibling.toUpperCase()},"prompt ? `Dispatching ${sibling.toUpperCase()} with: ""${prompt}""` : `Dispatching ${sibling.toUpperCase()}`",anchor,KEEP,,"Dispatching is anchor"
src/components/CopilotDrawer.svelte,474,No active build — cannot dispatch to ${sibling.toUpperCase()},"`No active build — cannot dispatch to ${sibling.toUpperCase()}.`",anchor,KEEP,,"Anchor — sibling here is interpolated agent ID"
src/components/CopilotDrawer.svelte,482,${sibling.toUpperCase()} returned no output,"`${sibling.toUpperCase()} returned no output.`",anchor,KEEP,,"Anchor — sibling is dynamic ID"
src/components/CopilotDrawer.svelte,486,${sibling.toUpperCase()} dispatch failed,"`${sibling.toUpperCase()} dispatch failed: ${err?.message ?? 'unknown error'}`",anchor,KEEP,,"Anchor"
src/components/CopilotDrawer.svelte,658,Switch backend / model (⚙),"title=""Switch backend / model (⚙)""",replace,REPLACE,Switch Provider / Model (⚙),"Tooltip — Backend→Provider per manifest"
src/components/MemoryDrawer.svelte,257,Memory,"title=""Memory""",anchor,KEEP,,"Drawer title — already canonical"
src/components/MemoryDrawer.svelte,258,hot ({$hotMemory.length}) · cold ({$coldMemory.length}),"subtitle=""hot ({$hotMemory.length}) · cold ({$coldMemory.length})""",replace,REPLACE,working ({$hotMemory.length}) · archive ({$coldMemory.length}),"Drawer subtitle per manifest: Hot→Working memory, Cold→Archive"
src/components/MemoryDrawer.svelte,297,Hot (turnlog),">Hot (turnlog)<",replace,REWORD,Working memory,"Tab label; turnlog is internal — drop or keep as small subtitle"
src/components/MemoryDrawer.svelte,303,Cold (helix),">Cold (helix)<",replace,REPLACE,Archive (helix),"Tab label per manifest; 'helix' is flavor — keep as parenthetical hint"
src/components/MemoryDrawer.svelte,309,Convergences,">Convergences</button>",replace,REPLACE,Consolidations,"Tab label per manifest"
src/components/MemoryDrawer.svelte,381,convergences,"{convergences.length}{...} convergences",replace,REPLACE,consolidations,"Count label"
src/components/MemoryDrawer.svelte,382,convergences,"({convergencesTotal > convergences.length ? ` of ${convergencesTotal}` : ''} convergences)",replace,REPLACE,consolidations,"Same as 381"
src/components/MemoryDrawer.svelte,392,Convergence,"`Convergence ${conv.id.slice(0, 8)}`",replace,REPLACE,Consolidation,"Fallback row title"
src/components/MemoryDrawer.svelte,398,Sibling chips,"<!-- Sibling chips -->",internal-only,KEEP,,"HTML comment — not user-visible"
src/components/MemoryDrawer.svelte,436,No convergences yet.,"No convergences yet.",replace,REPLACE,No consolidations yet.,"Empty-state copy"
src/components/MemoryDrawer.svelte,507,populate hot memory,"'No active turnlog entries. Start a session to populate hot memory.'",replace,REPLACE,populate working memory,"Empty-state copy"
src/components/MemoryDrawer.svelte,508,No cold entries found,"'No cold entries found. Promoted memos will appear here.'",replace,REPLACE,No archive entries found,"Empty-state copy"
src/components/MemoryDrawer.svelte,531,AGENT,"<span class=""text-[9px] text-[#475569]"">AGENT</span>",anchor,KEEP,,"Already uses 'AGENT' label — anchor-correct"
src/components/MemoryDrawer.svelte,548,STRANDS,"<span class=""text-[9px] text-[#475569]"">STRANDS</span>",flavor,KEEP-WITH-TOOLTIP,,"Strand is flavor (KEEP); tooltip body: 'A strand is one agent\'s contribution to the helix'"
src/components/HelixLegend.svelte,63,What is the Helix?,"<h2 id=""helix-legend-title"">What is the Helix?</h2>",flavor,KEEP,,"Helix is flavor anchor"
src/components/HelixLegend.svelte,70,every agent's memory of you,"The 3D helix is a live graph of every agent's memory of you — each strand is one",flavor,KEEP,,"Already uses 'agent' — anchor-correct; strand is flavor"
src/components/HelixLegend.svelte,71,convergences between agents,"convergences between agents. Brighter nodes were accessed more recently.",replace,REPLACE,consolidations between agents,"Per manifest"
src/components/HelixLegend.svelte,76,Agent strands,"<h3>Agent strands</h3>",flavor,KEEP-WITH-TOOLTIP,,"'Agent strands' — agent is anchor, strand is flavor; tooltip on strand label"
src/components/HelixLegend.svelte,94,LASDLC quality gates,"<h3>LASDLC quality gates</h3>",internal-only,REPLACE,Quality Gates,"Drop 'LASDLC' acronym; per L-seraph-2 internal-only term must not appear"
src/components/HelixLegend.svelte,26,Knowledge graph · memory vault · convergences,"role: 'Knowledge graph · memory vault · convergences'",replace,REPLACE,Knowledge graph · memory vault · consolidations,"SOUL agent role string"
src/components/PillarDetail.svelte,39,Pillar header,"<!-- Pillar header -->",internal-only,KEEP,,"HTML comment — not user-visible"
src/components/PillarDetail.svelte,48,gate.pillar,"{gate.pillar}",internal-only,KEEP,,"Renders dynamic pillar code (ARCH/SEC/etc.) — value stays as code; surrounding label is in HelixLegend already replaced"
src/components/PillarDetail.svelte,80,ENTRY GATE,"<div class=""text-[10px] text-[#64748b] mb-1"">ENTRY GATE</div>",replace,REPLACE,PHASE ENTRY,"Per manifest: 'Exit Gate→Phase Gate'; symmetric rename for entry"
src/components/PillarDetail.svelte,96,EXIT GATE,"<div class=""text-[10px] text-[#64748b] mb-1"">EXIT GATE</div>",replace,REPLACE,PHASE GATE,"Per manifest § Vocabulary Canon: Exit Gate→Phase Gate"
src/components/PillarRail.svelte,53,Pillar label,"<!-- Pillar label -->",internal-only,KEEP,,"HTML comment"
src/components/PillarRail.svelte,58,gate.pillar,"{gate.pillar}",internal-only,KEEP,,"Dynamic value (ARCH/SEC/etc.) — keep as code badge; rename happens at QualityGateDash level"
src/components/PillarRail.svelte,60,Pillar block,"<!-- Pillar block -->",internal-only,KEEP,,"HTML comment"
src/components/BuildPortfolio.svelte,79,build.currentPillar,"<span>{build.currentPillar}</span>",internal-only,KEEP,,"Renders dynamic pillar code; field rename out of Wave 6 scope (M-fe-2)"
src/screens/BuildQueue.svelte,331,build.currentPillar,"<span class=""text-xs font-mono"" style=""color: {polyColor}"">{build.currentPillar}</span>",internal-only,KEEP,,"Same — dynamic value"
src/screens/Workspace.svelte,165,Pillar rail + detail + panels,"<!-- Left: Pillar rail + detail + panels -->",internal-only,KEEP,,"HTML comment"
src/screens/Workspace.svelte,197,Pillar rail (clickable),"<!-- Pillar rail (clickable) -->",internal-only,KEEP,,"HTML comment"
src/screens/Workspace.svelte,205,Pillar selector pills,"<!-- Pillar selector pills -->",internal-only,KEEP,,"HTML comment"
src/screens/Workspace.svelte,214,gate.pillar,"{gate.pillar}",internal-only,KEEP,,"Dynamic pillar code"
src/screens/Workspace.svelte,222,Pillar detail (shown when a pillar is selected),"<!-- Pillar detail (shown when a pillar is selected) -->",internal-only,KEEP,,"HTML comment"
src/screens/Workspace.svelte,227,Select a pillar above to see phase details,"<p class=""text-xs text-[#475569]"">Select a pillar above to see phase details</p>",replace,REPLACE,Select a quality gate above to see phase details,"User-visible empty state"
src/components/ArtifactPanel.svelte,101,Artifacts will appear as pillars complete,"<p class=""text-[10px] text-[#334155]"">Artifacts will appear as pillars complete</p>",replace,REPLACE,Artifacts will appear as quality gates complete,"User-visible empty state"
src/components/ArtifactPanel.svelte,135,artifact.pillar,"{artifact.pillar}",internal-only,KEEP,,"Dynamic value badge (ARCH/SEC/etc.)"
src/components/FindingsPanel.svelte,111,finding.pillar,"{finding.pillar}",internal-only,KEEP,,"Dynamic pillar code badge"
src/components/SiblingDispatch.svelte,72,Prompt for {promptTarget.toUpperCase()},"placeholder=""Prompt for {promptTarget.toUpperCase()}…""",anchor,KEEP,,"Dynamic agent ID — value already canonical"
src/components/SiblingDispatch.svelte,61,sib.toUpperCase(),"{sib.toUpperCase()}",anchor,KEEP,,"Renders agent ID button label — value already canonical"
src/components/AgentTopology.svelte,50,Header: sibling badge + status,"<!-- Header: sibling badge + status -->",internal-only,KEEP,,"HTML comment"
src/components/AgentTopology.svelte,58,agent.sibling,"{agent.sibling}",anchor,KEEP,,"Renders dynamic agent ID — value canonical (filename already AgentTopology)"
src/components/ConductorPanel.svelte,98,Sibling badge,"<!-- Sibling badge -->",internal-only,KEEP,,"HTML comment"
src/components/ConductorPanel.svelte,103,"(task.sibling ?? '??').slice(0, 2).toUpperCase()","{(task.sibling ?? '??').slice(0, 2).toUpperCase()}",anchor,KEEP,,Renders dynamic agent ID badge
src/components/ScrumReport.svelte,99,finding.sibling.toUpperCase(),"{finding.sibling.toUpperCase()}",anchor,KEEP,,"Dynamic agent ID badge"
src/components/ScrumReport.svelte,141,finding.sibling.toUpperCase(),"{finding.sibling.toUpperCase()}",anchor,KEEP,,"Same"
src/components/ScrumReport.svelte,183,finding.sibling.toUpperCase(),"{finding.sibling.toUpperCase()}",anchor,KEEP,,"Same"
